pvalue	chromosome	start	end	Number of nearby TSS	closest tx id	closest tx name	closest tx biotype	distance to tss
2.060791008189342e-36	22	2405753	2407192	27	ensorlt00000027844	tbpl2-202	protein_coding	0
8.492559114004116e-36	6	1003683	1004493	4	ensorlt00000023961	ptprz1a-201	protein_coding	53144
9.986262981090793e-36	19	4896361	4898044	21	ensorlt00000017275	nt5c3b-202	protein_coding	1314
1.1196999391260156e-35	9	1939074	1940052	19	ensorlt00000000515		protein_coding	725
1.6961754041734668e-35	19	17667601	17668455	15	ensorlt00000035543		protein_coding	-43165
3.1381962878423977e-35	2	22706556	22707650	17	ensorlt00000007125	cdadc1-201	protein_coding	5505
4.0482366332584814e-35	2	23324373	23325538	19	ensorlt00000007888	gart-201	protein_coding	-1866
6.263050306090239e-35	12	2187537	2190115	15	ensorlt00000001441		protein_coding	-10253
1.7303307875382526e-34	5	30060867	30062266	12	ensorlt00000034046	ensorle00000321186	protein_coding	-778
4.857125159811823e-34	6	2209392	2211073	6	ensorlt00000028066		protein_coding	916
3.1706403069766715e-33	14	29286331	29287419	9	ensorlt00000019460	galnt10-201	protein_coding	-6650
6.671615738632838e-33	16	29570310	29570992	20	ensorlt00000040484		protein_coding	-5962
1.057420438543694e-32	6	4948049	4949056	12	ensorlt00000043528	ensorle00000254996	protein_coding	0
1.3539225016704733e-32	7	26640756	26641574	2	ensorlt00000028663	ensorle00000297482	protein_coding	74898
2.2178943822589464e-32	9	1940281	1941248	19	ensorlt00000000515		protein_coding	0
2.2178943822589464e-32	3	1709375	1710253	15	ensorlt00000040015	ensorle00000233640	protein_coding	-869
6.44276761095592e-32	7	25217150	25218019	9	ensorlt00000036746	src-202	protein_coding	3421
6.524685971165409e-32	14	19955750	19956691	7	ensorlt00000031151	rps6ka4-202	protein_coding	14624
1.4727127558183784e-31	1	1608911	1609767	12	ensorlt00000000072		protein_coding	-4370
2.202617478014136e-31	11	14611139	14611909	17	ensorlt00000007402	si:ch73-160i9.1-201	protein_coding	912
3.629771757374646e-31	18	19963184	19964018	10	ensorlt00000030927	si:ch211-200p22.4-204	protein_coding	35228
5.40015475330797e-31	12	29030901	29031717	4	ensorlt00000018931	st8sia3-201	protein_coding	-55712
6.583248170222875e-31	13	383208	383975	9	ensorlt00000032832	sst1.1-201	protein_coding	485
2.199635475118001e-30	5	32495777	32497243	14	ensorlt00000022882		protein_coding	-3154
2.269583127618479e-30	16	32176856	32177488	20	ensorlt00000036632		protein_coding	-20499
5.978569986024647e-30	1	28861433	28862812	21	ensorlt00000015172	gnav1-201	protein_coding	3270
1.6660069234201874e-29	23	22979232	22979976	18	ensorlt00000021719	kcnmb4-201	protein_coding	2437
2.0807194384635527e-29	1	28858118	28859215	20	ensorlt00000015172	gnav1-201	protein_coding	6867
6.5850265651718e-29	1	3750364	3751169	10	ensorlt00000044844	ensorle00000251461	protein_coding	1666
6.951949949832501e-29	15	7342679	7343560	16	ensorlt00000001968	rel-201	protein_coding	-5987
7.229594596572703e-29	12	25647768	25648719	10	ensorlt00000017046		protein_coding	10411
1.4189044247338708e-28	20	928166	929086	6	ensorlt00000024007	snx7-201	protein_coding	-9010
2.1671991147409263e-28	14	14377191	14378259	9	ensorlt00000032831	dlg4a-204	protein_coding	4297
3.340537250420661e-28	24	2440080	2441234	16	ensorlt00000012260	bmp2-201	protein_coding	-10859
5.0332231038392215e-28	23	3850204	3850968	11	ensorlt00000011959	arntl2-201	protein_coding	8784
5.043327685496443e-28	3	16474087	16474976	21	ensorlt00000005943	grk1-201	protein_coding	-3223
1.0143381646829849e-27	8	21261846	21262796	18	ensorlt00000024432		protein_coding	-5983
1.267965816767571e-27	16	27924435	27925464	25	ensorlt00000037928	rnf183-201	protein_coding	-741
1.4423556439286232e-27	10	1395471	1396245	15	ensorlt00000030488	ensorle00000323183	protein_coding	-24754
2.1088582546820674e-27	12	16363111	16364076	12	ensorlt00000032401	ensorle00000287128	protein_coding	0
2.4144042830284045e-27	21	28550521	28551558	13	ensorlt00000040597	pgap1-202	protein_coding	408
2.4961476308134158e-27	22	22352474	22354554	22	ensorlt00000039937		protein_coding	-5803
4.0547746094990214e-27	12	2224110	2224947	9	ensorlt00000001474	sez6l-201	protein_coding	14584
4.791392994687014e-27	15	29821056	29822141	28	ensorlt00000035168	mypn-203	protein_coding	-11292
5.455141814286256e-27	20	5708409	5710353	1	ensorlt00000005184	ensorle00000045309	protein_coding	49761
5.574346333888568e-27	23	11357678	11358382	10	ensorlt00000036581	ensorle00000229609	protein_coding	-5244
6.378112795549697e-27	16	29379772	29380590	10	ensorlt00000020436		protein_coding	-9138
6.52587688853877e-27	19	1970304	1971316	16	ensorlt00000003025	xrcc6-202	protein_coding	4755
6.52587688853877e-27	13	20552384	20553114	14	ensorlt00000012890		protein_coding	25185
9.488802954021591e-27	1	24677502	24678338	14	ensorlt00000013381		protein_coding	0
1.541378253705167e-26	1	32088263	32088895	0				
1.6766854155738982e-26	1	623809	625652	35	ensorlt00000038846		protein_coding	4162
1.6887254530279567e-26	12	2351	3432	12	ensorlt00000038400		protein_coding	-1598
1.803208848352731e-26	8	24228402	24229097	13	ensorlt00000021320		protein_coding	-5908
6.932935469943094e-26	5	18110054	18110576	37	ensorlt00000011708	zgc:109913-201	protein_coding	107
1.0779225077225496e-25	5	30639310	30640214	10	ensorlt00000020901	minar1-201	protein_coding	1151
1.7631969134241214e-25	13	5075595	5076908	24	ensorlt00000046329		protein_coding	-1485
2.156066539225078e-25	2	25168675	25169329	17	ensorlt00000043834	rgn-202	protein_coding	0
2.2202271411197786e-25	17	7698575	7699743	1	ensorlt00000035149		protein_coding	96463
2.2999096928544967e-25	2	24777019	24778170	18	ensorlt00000025343	gpr180-203	protein_coding	4417
2.7235710065088244e-25	14	5903721	5904512	6	ensorlt00000031223		protein_coding	32330
4.229097582900957e-25	22	1397307	1398265	28	ensorlt00000011491	cdkn3-201	protein_coding	589
6.235521999842751e-25	4	4090296	4091243	19	ensorlt00000002534		protein_coding	-8750
6.973061376690671e-25	5	5033669	5034509	6	ensorlt00000029761	erc2-205	protein_coding	7280
1.0259782860280775e-24	1	35021478	35021995	4	ensorlt00000018097	lrpap1-202	protein_coding	-23956
1.1309419705871038e-24	2	5876097	5876690	5	ensorlt00000035198		protein_coding	-4078
1.1309419705871038e-24	23	4299437	4299974	13	ensorlt00000035472		protein_coding	-2366
1.1322922582162715e-24	12	22359132	22359991	1	ensorlt00000015177	si:dkey-28o19.1-201	protein_coding	-95204
1.1876448563966123e-24	10	14786507	14787346	17	ensorlt00000042182		protein_coding	1718
1.5337854212517532e-24	22	540933	541458	14	ensorlt00000040588		protein_coding	5711
1.549349834548723e-24	23	3916940	3917989	10	ensorlt00000012011	med21-201	protein_coding	-4364
1.6833572003079223e-24	16	7650998	7651576	14	ensorlt00000046836	chsy1-201	protein_coding	-21235
2.0158876638559068e-24	9	1409550	1410160	17	ensorlt00000032763		protein_coding	8252
2.3507279419715804e-24	4	3961215	3962076	18	ensorlt00000002422	aasdh-201	protein_coding	5858
3.8195598410378314e-24	12	26904924	26905631	25	ensorlt00000035444	zgc:92275-201	protein_coding	58
3.8195598410378314e-24	6	20546467	20547385	16	ensorlt00000012547	arsa-201	protein_coding	4183
6.283486409713714e-24	1	514965	516003	33	ensorlt00000025024	psen2-201	protein_coding	0
6.40506461063876e-24	24	5030022	5030720	13	ensorlt00000014194	si:ch211-59d15.9-201	protein_coding	10432
7.787754403189951e-24	20	3838700	3839627	4	ensorlt00000041921	si:ch211-152c8.4-201	protein_coding	3017
7.929469272312326e-24	22	981897	982941	22	ensorlt00000039506		protein_coding	9009
8.245382634357246e-24	24	5935650	5936472	24	ensorlt00000015032	aida-202	protein_coding	531
9.618191003637802e-24	23	16569819	16570625	0				
1.169451632975153e-23	10	30885273	30886108	10	ensorlt00000028706		protein_coding	-421
1.169451632975153e-23	17	31123134	31123914	4	ensorlt00000042031		protein_coding	16342
2.651714676582528e-23	12	15162968	15163491	16	ensorlt00000012487	lhx6-201	protein_coding	9889
3.928484092608626e-23	1	27182733	27183829	11	ensorlt00000028640		protein_coding	34331
5.103290068869993e-23	20	19218717	19219362	8	ensorlt00000041961	otud1-201	protein_coding	710
6.051770001177397e-23	12	585385	586533	15	ensorlt00000045797	abraxas1-201	protein_coding	35139
9.167650423933342e-23	1	4117891	4118603	13	ensorlt00000001892	fam161a-201	protein_coding	-3594
9.740160804514815e-23	22	2110896	2112054	29	ensorlt00000035727	paplna-201	protein_coding	11519
1.8697945044487808e-22	4	24054496	24055406	25	ensorlt00000017263	rpl5-201	protein_coding	4427
1.958612489445819e-22	23	5425417	5426464	6	ensorlt00000034117	ensorle00000321166	protein_coding	130
1.958612489445819e-22	23	20027210	20027917	12	ensorlt00000020590	igf1-203	protein_coding	-5207
2.1706831443558706e-22	12	28841596	28842332	9	ensorlt00000018898	nars1-201	protein_coding	5993
2.5046865169340404e-22	11	743057	743651	23	ensorlt00000000364	ndufv1-201	protein_coding	-3444
2.5713674385207067e-22	19	12504461	12505627	16	ensorlt00000041307	cox7a2l-201	protein_coding	-1517
2.7711928714243168e-22	22	695759	696885	20	ensorlt00000033781		protein_coding	0
2.8778542270857766e-22	18	26965446	26965994	15	ensorlt00000013456	zgc:158564-201	protein_coding	-11716
2.9102148700059503e-22	10	22614555	22615376	5	ensorlt00000042024	sh2d1ab-201	protein_coding	5079
3.899017449671085e-22	6	14656998	14657733	9	ensorlt00000043625	ensorle00000235123	protein_coding	14500
4.129071632657658e-22	8	23927778	23928959	10	ensorlt00000021273		protein_coding	-5330
4.387740570001069e-22	12	119570	120724	15	ensorlt00000023410	fktn-201	protein_coding	-3925
4.998005553041768e-22	4	29151022	29151782	16	ensorlt00000044762	abhd17ab-201	protein_coding	2477
5.500784870614523e-22	1	9798564	9799797	17	ensorlt00000044917	atad5b-202	protein_coding	2782
5.545586393068526e-22	13	843260	844152	16	ensorlt00000000444	gpr171-202	protein_coding	-11642
6.080422174140948e-22	22	13006454	13007206	23	ensorlt00000020319	cipca-201	protein_coding	-4488
6.080422174140948e-22	23	11491524	11492321	1	ensorlt00000029749	lmo3-201	protein_coding	-16375
8.169292615694674e-22	22	1314691	1315734	28	ensorlt00000011357	atl1-201	protein_coding	4697
8.636156152662876e-22	8	10529387	10530017	17	ensorlt00000009920	pcyt2-201	protein_coding	3332
8.905756799928668e-22	4	2996647	2997379	14	ensorlt00000001584	ttc39c-202	protein_coding	5249
1.2484005282763111e-21	22	16765425	16765923	22	ensorlt00000021823	zbtb8a-201	protein_coding	2381
1.5559670319176638e-21	19	6478747	6479442	4	ensorlt00000006611	pcdh15b-202	protein_coding	15093
1.6043487846143554e-21	5	8160898	8161619	24	ensorlt00000004839	glyctk-201	protein_coding	-1467
1.6917476329612985e-21	13	20116773	20117934	5	ensorlt00000038472		protein_coding	22552
1.9957139184916234e-21	20	16631626	16632154	11	ensorlt00000010173	prdm14-201	protein_coding	-13288
2.514305998554582e-21	14	18141689	18142132	1	ensorlt00000034056		protein_coding	-89405
2.613062852183186e-21	8	22804255	22805427	13	ensorlt00000038157	nfixb-201	protein_coding	-412
3.1181029012393796e-21	16	6706711	6707703	13	ensorlt00000003981	sqlea-201	protein_coding	-15158
3.1181029012393796e-21	20	22410541	22411239	15	ensorlt00000015867		protein_coding	2409
3.155180330738555e-21	7	32119701	32120957	7	ensorlt00000022991	ptpn18-202	protein_coding	5390
3.231012648949608e-21	11	17506886	17507784	15	ensorlt00000043644	trhr1b-201	protein_coding	-3896
3.573426059253857e-21	3	310733	311234	18	ensorlt00000032145		protein_coding	2362
3.6487064033223995e-21	21	6545244	6546227	7	ensorlt00000013061		protein_coding	29862
4.0302740807615596e-21	23	24242259	24243109	8	ensorlt00000024725		protein_coding	0
4.664890591908483e-21	2	17527010	17527903	8	ensorlt00000005301		protein_coding	6897
4.769850690222578e-21	21	30504736	30506294	14	ensorlt00000025445	cdk5r2b-201	protein_coding	7823
5.392686326582504e-21	3	7197460	7198055	0				
5.392686326582504e-21	9	1589475	1591451	14	ensorlt00000034707	camk2b1-202	protein_coding	4047
5.6977012855139256e-21	23	22119770	22120452	11	ensorlt00000021423	gata3-202	protein_coding	-4079
6.560122847752084e-21	1	4118637	4119269	13	ensorlt00000001892	fam161a-201	protein_coding	-4340
7.62093936497535e-21	16	6229218	6230088	5	ensorlt00000038734		protein_coding	-58169
7.62093936497535e-21	11	15137293	15138266	0				
8.687626698333377e-21	19	25054523	25055315	0				
8.938801359141619e-21	19	23767931	23768794	5	ensorlt00000041349		protein_coding	-19023
9.875607500605979e-21	21	16398621	16399269	15	ensorlt00000018618	znf142-202	protein_coding	-7362
1.1804817658472903e-20	11	1245861	1247800	14	ensorlt00000045893		protein_coding	4617
1.2568565092589806e-20	10	5874411	5875103	5	ensorlt00000036228	ensorle00000256411	protein_coding	8289
1.5081648500428162e-20	23	23958441	23959191	21	ensorlt00000038489		protein_coding	-1838
1.5229259432046868e-20	10	14801064	14801939	19	ensorlt00000037422		protein_coding	-1630
1.7457320537440622e-20	14	27182464	27183558	9	ensorlt00000029236		protein_coding	1093
1.9584273714629672e-20	9	1408998	1409453	17	ensorlt00000032763		protein_coding	8959
2.329263724800225e-20	17	15890445	15891066	17	ensorlt00000039955		protein_coding	558
2.45968835529108e-20	14	27054189	27055208	11	ensorlt00000018775	ompb-201	protein_coding	0
2.5501960015664632e-20	12	17111360	17112072	2	ensorlt00000047102		pseudogene	-17880
2.5501960015664632e-20	12	21967072	21967688	0				
2.5652809678623104e-20	18	26148011	26148549	11	ensorlt00000041996		protein_coding	0
3.1262633933517314e-20	16	3285887	3287269	8	ensorlt00000043893	ensorle00000259624	protein_coding	-29666
3.5374499018295354e-20	11	24926874	24927679	3	ensorlt00000039168	st3gal1-201	protein_coding	22926
4.8118894811992216e-20	3	1722806	1724495	15	ensorlt00000046231	ensorle00000303954	protein_coding	0
5.628194690514615e-20	22	764859	765347	16	ensorlt00000010799	slc25a21-201	protein_coding	-8535
5.924283335313311e-20	1	35141377	35141904	12	ensorlt00000018189	rgs12b-202	protein_coding	9333
6.360481356690814e-20	10	27306881	27307553	18	ensorlt00000013447	mmp17b-201	protein_coding	-6143
6.761032193256504e-20	21	22070147	22070650	23	ensorlt00000026984	pdk1-201	protein_coding	3295
8.075640284523466e-20	11	615230	616062	9	ensorlt00000038868		protein_coding	-17281
9.177826076291038e-20	12	25549614	25550239	7	ensorlt00000017020		protein_coding	180
1.0819329881896349e-19	20	25878887	25879373	8	ensorlt00000017658	map3k15-201	protein_coding	-10450
1.1269314891946748e-19	5	24228784	24229902	4	ensorlt00000027077		protein_coding	3737
1.3143812552438922e-19	2	22106831	22107455	18	ensorlt00000006662	retreg2-201	protein_coding	-966
1.570497177377831e-19	14	3337596	3338053	20	ensorlt00000000930	hspb11-201	protein_coding	242
2.588165897446157e-19	3	127750	128241	6	ensorlt00000041940	ensorle00000288293	protein_coding	-12777
2.8600938832285493e-19	5	1990841	1991259	15	ensorlt00000039913		protein_coding	-6769
2.871811091446091e-19	9	2218961	2219864	9	ensorlt00000000844	camsap1b-202	protein_coding	-39759
2.907003781026885e-19	2	21398761	21399491	12	ensorlt00000006058	ensorle00000053070	protein_coding	-2687
3.997831569722149e-19	13	16608685	16609984	20	ensorlt00000042348		protein_coding	10801
4.196827321220249e-19	6	6578463	6579102	9	ensorlt00000044060	ensorle00000318260	protein_coding	7774
4.3382465728451395e-19	18	6918400	6919886	6	ensorlt00000041771		protein_coding	-986
5.528548105125097e-19	24	10287660	10288456	16	ensorlt00000030196	mfsd4b-201	protein_coding	-918
5.842666878218961e-19	11	5652296	5652907	25	ensorlt00000026443	ensorle00000227132	snorna	2717
6.079406009718842e-19	5	1068634	1069362	1	ensorlt00000045069		protein_coding	74615
6.083050024724452e-19	19	15547380	15547780	13	ensorlt00000014130	col1a1b-201	protein_coding	-3143
6.249037681336189e-19	16	21866168	21866901	16	ensorlt00000045075		protein_coding	11855
7.058941220189348e-19	24	15119772	15120578	26	ensorlt00000021183		protein_coding	3578
8.007253145528287e-19	2	11910403	11910923	10	ensorlt00000029814		protein_coding	-4142
8.505825247567743e-19	10	14804798	14805646	20	ensorlt00000034443		protein_coding	1459
9.11345877361293e-19	23	20253930	20254850	11	ensorlt00000020694	itfg2-203	protein_coding	-10250
1.1071649406372323e-18	9	22120347	22121367	2	ensorlt00000037495	galnt9-201	protein_coding	-19700
1.1071649406372323e-18	12	20708042	20708556	7	ensorlt00000043012	musk-204	protein_coding	-44239
1.2561940428756479e-18	18	13357355	13357783	19	ensorlt00000007486		protein_coding	3955
1.3806043422086071e-18	22	16665847	16666747	4	ensorlt00000021806	ralgapa2-201	protein_coding	-43175
1.5105512696426516e-18	3	20221759	20222408	15	ensorlt00000041341	rassf10-201	protein_coding	146
1.5225401843924792e-18	24	13782409	13783142	21	ensorlt00000020422	znf513a-201	protein_coding	5325
1.522568533776515e-18	11	19729004	19729959	18	ensorlt00000011779	eya3-201	protein_coding	-7445
1.597815945910703e-18	4	23160114	23160828	6	ensorlt00000031450	ensorle00000232160	protein_coding	-2973
1.6854905442136868e-18	12	27004015	27004580	26	ensorlt00000035850	galnt11-201	protein_coding	7260
1.7465107787905384e-18	11	11458630	11459512	18	ensorlt00000036767	ensorle00000280931	protein_coding	-1741
1.8637564353629385e-18	4	6524902	6525641	16	ensorlt00000004668	wwc3-201	protein_coding	-6144
2.0916856957828725e-18	20	3801974	3802772	4	ensorlt00000037801	si:ch211-152c8.5-201	protein_coding	-14137
2.6167380498425054e-18	16	8743401	8744024	3	ensorlt00000042147	fzd1-201	protein_coding	5930
2.620883671415281e-18	23	13944001	13944421	11	ensorlt00000036702	adipor2-201	protein_coding	20676
2.7436819786780606e-18	23	24125549	24126109	14	ensorlt00000038775		protein_coding	4320
2.8076666736141885e-18	23	20369345	20370786	20	ensorlt00000020777	tspan9b-201	protein_coding	-5980
3.0001164047638142e-18	16	30567648	30568275	5	ensorlt00000020717	mios-201	protein_coding	13842
4.087834765080559e-18	24	22687408	22688085	5	ensorlt00000027025		protein_coding	17286
5.672541041324326e-18	8	821160	821688	52	ensorlt00000037560		protein_coding	-3390
6.00917691730988e-18	1	729239	730182	30	ensorlt00000030232	si:dkey-202b17.4-201	protein_coding	-417
6.165637347192432e-18	8	3718774	3719076	16	ensorlt00000002477	shank1-202	protein_coding	17325
6.165637347192432e-18	21	22980897	22981971	23	ensorlt00000022100		protein_coding	12396
6.998691142723123e-18	12	1508569	1510399	24	ensorlt00000000650	tor4aa-201	protein_coding	-1525
7.05845424657232e-18	12	26614553	26615453	12	ensorlt00000028531	ensorle00000320700	protein_coding	-208
7.653388866779334e-18	17	12628071	12629156	11	ensorlt00000042322	rasal2-201	protein_coding	-16291
8.527283553318531e-18	3	36324758	36325465	15	ensorlt00000019462	tph1b-201	protein_coding	640
8.799235843773092e-18	23	22981297	22981876	18	ensorlt00000021719	kcnmb4-201	protein_coding	537
9.327560410049944e-18	12	29701983	29702399	4	ensorlt00000019198	dcc-202	protein_coding	7506
1.0064482110046512e-17	12	27801264	27802238	14	ensorlt00000018502	gadd45gb.1-201	protein_coding	2560
1.1051106967548679e-17	18	28932190	28932955	19	ensorlt00000015648	rbm4.1-201	protein_coding	-11088
1.1316058749911835e-17	21	30511699	30512139	14	ensorlt00000025445	cdk5r2b-201	protein_coding	1978
1.2641121161870304e-17	13	11568006	11568822	8	ensorlt00000006503	cadm1b-202	protein_coding	0
1.5257516493015e-17	12	7833845	7834230	29	ensorlt00000034253		protein_coding	18188
1.534799844419626e-17	11	24852590	24853019	5	ensorlt00000025955	ola-mir-30d-201	mirna	-5373
1.777131586437181e-17	4	7984704	7985398	12	ensorlt00000006359	amh-201	protein_coding	2566
2.0084033442621518e-17	7	2939062	2940188	5	ensorlt00000042263	si:ch211-236h17.3-201	protein_coding	-10101
2.1242404077019545e-17	13	19621325	19621721	7	ensorlt00000012081	inpp5ka-201	protein_coding	-4859
2.2298390865275852e-17	6	27378937	27379351	25	ensorlt00000018754	b3gnt9-201	protein_coding	-4895
2.376520703305463e-17	3	1396019	1396951	17	ensorlt00000046089		protein_coding	12691
2.387665522295472e-17	22	13103173	13103711	30	ensorlt00000020433	zgc:163014-201	protein_coding	0
2.4565676016381305e-17	12	5769620	5770439	23	ensorlt00000004232	tor1-203	protein_coding	-1087
2.480372826053057e-17	16	32827497	32828400	13	ensorlt00000028003		protein_coding	-3001
2.640505429490152e-17	1	2071678	2072757	21	ensorlt00000032647	ccsapa-201	protein_coding	523
2.870814793325127e-17	19	463565	464676	39	ensorlt00000025672		protein_coding	-163
2.961056481826029e-17	16	31046110	31046880	5	ensorlt00000037173	etv1-201	protein_coding	-18240
2.9934885836235696e-17	12	14506415	14506927	24	ensorlt00000011728	mpx-206	protein_coding	-1317
3.227468334848111e-17	17	6119132	6119600	14	ensorlt00000006622	si:rp71-39b20.4-202	protein_coding	-4799
3.4692793947394586e-17	2	15990817	15991357	7	ensorlt00000038436	ensorle00000268103	protein_coding	-14405
3.4692793947394586e-17	5	326699	327295	12	ensorlt00000033424		protein_coding	20702
3.5595014532218893e-17	2	24401329	24402075	18	ensorlt00000023422		protein_coding	-86
3.58629368832009e-17	19	17314751	17315570	7	ensorlt00000022995		protein_coding	-27659
3.9808509634129366e-17	12	25607476	25608245	11	ensorlt00000017046		protein_coding	50885
4.3216565832893536e-17	9	4839534	4839978	15	ensorlt00000039474		protein_coding	2392
4.372339104214257e-17	9	1178641	1179558	10	ensorlt00000029933	dmrt3a-201	protein_coding	-2558
4.722927042251783e-17	16	1083033	1084137	24	ensorlt00000045337	znf576.1-203	protein_coding	2520
5.761284108017984e-17	13	11128724	11129602	13	ensorlt00000032009	socs9-202	protein_coding	-37958
6.041717789654891e-17	12	30258650	30259150	13	ensorlt00000044527	lmo4a-201	protein_coding	-29856
6.373795415216751e-17	20	1380297	1380848	4	ensorlt00000022279		protein_coding	4019
6.55772991156349e-17	10	30849295	30849722	10	ensorlt00000033724	ensorle00000291432	protein_coding	-1289
7.737941199085016e-17	5	4755621	4756745	14	ensorlt00000030296		protein_coding	-15480
9.216066240471922e-17	9	7380883	7381458	11	ensorlt00000004429	hsd17b4-201	protein_coding	27456
1.0468703477882279e-16	1	35688977	35689469	20	ensorlt00000044924	ndufb7-201	protein_coding	2363
1.1003909151443488e-16	13	3186102	3187164	15	ensorlt00000001341	lgals4-203	protein_coding	-3660
1.3867308298209563e-16	18	29918080	29918514	14	ensorlt00000015406	slx1b-201	protein_coding	30702
1.5200965736441635e-16	12	17093218	17094071	2	ensorlt00000047102		pseudogene	0
1.6385467712079867e-16	7	12745711	12746107	14	ensorlt00000009958	hoxc8-201	protein_coding	-1442
2.0120748266200016e-16	19	15739866	15740589	11	ensorlt00000029278	ensorle00000319951	protein_coding	-11983
2.187216710505949e-16	10	27120925	27121360	7	ensorlt00000026894		protein_coding	-6805
2.187216710505949e-16	19	18836048	18836626	4	ensorlt00000015233	pdk2a-201	protein_coding	-17559
2.2305888593181327e-16	3	1308432	1309394	16	ensorlt00000041254	gch1-201	protein_coding	-818
2.613455056911848e-16	13	966887	967785	18	ensorlt00000028023	cox7a1-204	protein_coding	-528
2.6254978737754077e-16	2	10264792	10265424	18	ensorlt00000001425	f7l-201	protein_coding	1487
2.867466034314792e-16	23	7692582	7692981	0				
3.0693723920405307e-16	3	5675283	5675936	17	ensorlt00000029422	rpl12-202	protein_coding	4570
3.1049841274855854e-16	23	9502612	9503172	8	ensorlt00000023045	slc26a5-201	protein_coding	13021
3.23022301799314e-16	18	19463064	19463790	10	ensorlt00000010277	pacs1-204	protein_coding	7229
3.473252196892281e-16	15	19015085	19015747	11	ensorlt00000007120	zranb1b-202	protein_coding	-15415
3.6658244793799134e-16	18	28735493	28736045	10	ensorlt00000014219		protein_coding	6655
3.7541077827918447e-16	10	30520209	30520722	5	ensorlt00000014540	tmed9-201	protein_coding	35482
4.174372376456807e-16	6	26415548	26416384	16	ensorlt00000017542	zfpm1-204	protein_coding	2790
4.2076591878292565e-16	1	16885030	16885688	21	ensorlt00000008885	anp32b-201	protein_coding	18163
4.2177173633873293e-16	13	966300	966880	15	ensorlt00000028023	cox7a1-204	protein_coding	0
4.494432708714712e-16	21	22398142	22399003	12	ensorlt00000038383	atp5mc3b-201	protein_coding	-10559
4.57956119481625e-16	17	10366324	10367572	19	ensorlt00000037251	ensorle00000260783	protein_coding	2347
5.068813401169617e-16	2	1710178	1710982	16	ensorlt00000000036	inpp4ab-204	protein_coding	16132
5.069999833082424e-16	11	231563	232404	17	ensorlt00000037664	scrt1a-201	protein_coding	6563
5.3883067661590455e-16	22	1070380	1071255	20	ensorlt00000024587	exd2-201	protein_coding	-2636
5.692057917857605e-16	24	13999201	13999843	26	ensorlt00000031356	xkr6b-201	protein_coding	-14497
6.591865125412602e-16	20	5697588	5698201	1	ensorlt00000005184	ensorle00000045309	protein_coding	61913
6.712526002741275e-16	21	30843135	30844430	10	ensorlt00000046154		protein_coding	580
6.771933068677157e-16	23	9778861	9779205	6	ensorlt00000038742		protein_coding	-1867
6.771933068677157e-16	7	25211292	25212274	11	ensorlt00000020242	kcng1-201	protein_coding	0
6.771933068677157e-16	1	1875134	1875587	18	ensorlt00000044320		protein_coding	-7541
7.1966405243784e-16	17	30526601	30527025	17	ensorlt00000022578	admp-204	protein_coding	-1020
7.342548975903013e-16	15	11437779	11438647	2	ensorlt00000038174		protein_coding	-74895
7.521215458472705e-16	11	2882502	2883191	5	ensorlt00000039738	zhx1-201	protein_coding	30388
7.97376365424529e-16	24	6328489	6329255	23	ensorlt00000015316	nek2-201	protein_coding	3934
